country,code,average_stringency_q1,average_mobility_q1,gdp2019q4,gdp2020q1,,
Armenia,ARM,,,7.5,3.8,,
Austria,AUT,20.11571429,-8.956043956,0.9,-2.9,,
Belgium,BEL,21.17813187,-8.986813187,1.3,-2.4,,
Bulgaria,BGR,19.65791209,-7.131868132,2.9,1.2,,
Belarus,BLR,,,1.6,-0.2,,
Canada,CAN,14.78758242,-4.723076923,1.2,-1.3,,
Chile,CHL,12.37164835,-7.698901099,-2.1,0.4,,
China,CHN,55.05703297,,6.0,-6.8,,
Colombia,COL,19.10296703,-9.257142857,3.5,1.1,,
Cyprus,CYP,15.78571429,,3.4,0.9,,
Czech Republic,CZE,26.06846154,-6.272527473,1.8,-1.7,,
Germany,DEU,21.48769231,-4.479120879,0.9,0.2,,
Denmark,DNK,21.83978022,-3.694505495,2.1,-0.3,,
Spain,ESP,22.44648352,-12.95164835,1.7,-3.7,,
Estonia,EST,13.77087912,-4.158241758,3.9,-0.7,,
European Union,EU,,,1.1,-2.5,,
Finland,FIN,22.40131868,-3.67032967,0.8,-1.1,,
France,FRA,26.34417582,-11.52747253,0.8,-4.7,,
United Kingdom,GBR,14.88659341,-6.12967033,1.4,-2.7,,
Georgia,GEO,28.20659341,-5.325274725,5.1,2.2,,
Hong Kong SAR (China),HKG,41.82120879,-8.975824176,-3.0,-8.9,,
Hungary,HUN,17.97318681,-4.131868132,4.5,2.2,,
Indonesia,IDN,25.25912088,-4.417582418,5.0,3.0,,
Israel,ISR,27.06296703,-7.316483516,3.8,0.4,,
Italy,ITA,39.05461538,-17.33186813,0.0,-5.6,,
Japan,JPN,23.76373626,-1.989010989,-0.7,-1.7,,
South Korea,KOR,34.70549451,-4.406593407,2.3,1.4,,
Lithuania,LTU,,-4.742857143,3.8,2.4,,
Latvia,LTV,,,1.0,-1.5,,
Morocco,MAR,15.40604396,,2.1,1.9,,
Mexico,MEX,7.124175824,-3.494505495,-0.7,-1.4,,
Mongolia,MNG,44.44252747,-8.017582418,2.2,-10.7,,
Malaysia,MYS,24.09769231,-10.18901099,3.6,0.7,,
Nigeria,NGA,23.91934066,-2.294505495,2.6,1.9,,
Netherlands,NLD,16.20791209,-5.230769231,1.6,-0.2,,
Norway,NOR,21.29076923,-5.762637363,1.8,1.1,,
Peru,PER,20.33362637,-12.53406593,1.8,-3.4,,
Philippines,PHL,30.99703297,-11.43296703,6.7,-0.2,,
Poland,POL,17.78703297,-7.413186813,3.4,1.7,,
Portugal,PRT,21.09659341,-9.769230769,2.3,-2.1,,
Romania,ROU,22.72802198,-7.318681319,4.3,2.4,,
Russia,RUS,16.22769231,,2.1,1.6,,
Singapore,SGP,24.61692308,-5.217582418,1.0,-0.3,,
Slovakia,SVK,20.85879121,-8.224175824,2.1,-3.9,,
Slovakia,SVK,20.85879121,-8.224175824,2.1,-3.7,,
Sweden,SWE,6.590549451,-2.026373626,0.5,0.4,,
Thailand,THA,12.24648352,-6.149450549,1.5,-1.8,,
Taiwan,TWN,22.22461538,-1.962637363,3.3,1.6,,
Ukraine,UKR,19.17197802,,1.5,-1.3,,
United States,USA,16.73186813,-2.692307692,2.2,0.3,,
Vietnam,VNM,30.98725275,-6.079120879,7.0,3.7,,
